buy_threshold,sell_threshold,sl_atr_mult,tp_atr_mult,trades,win_rate,profit_factor,net_profit,final_balance
0.4,0.3,0.8,1.0,564,0.6063829787234043,1.7466275512721614,2606.886999999999,3606.886999999999
0.5,0.4,0.8,2.0,346,0.5953757225433526,2.1190141307887473,2592.9677142857267,3592.9677142857267
0.45,0.45,1.0,2.5,321,0.616822429906542,2.2153813032021064,2586.7446428571607,3586.7446428571607
0.35,0.45,1.0,2.5,415,0.5807228915662651,1.8457319731511275,2581.446428571443,3581.446428571443
0.35,0.45,1.2,1.5,418,0.6196172248803827,1.9367117553567115,2581.248142857142,3581.248142857142
0.4,0.45,1.2,1.0,403,0.6600496277915633,2.0899034556011307,2574.085714285713,3574.085714285713
0.5,0.4,1.2,1.5,337,0.6409495548961425,2.206666118226694,2573.161714285722,3573.161714285722
0.35,0.35,0.8,1.0,573,0.6003490401396161,1.707990280404396,2568.267714285716,3568.267714285716
0.4,0.45,1.5,1.5,374,0.6443850267379679,2.0948166968236688,2556.831785714292,3556.831785714292
0.4,0.45,0.8,2.5,393,0.5648854961832062,1.9632240953830442,2554.6970714285762,3554.6970714285762
0.35,0.45,1.0,1.5,435,0.5977011494252874,1.8577632471555086,2537.882500000008,3537.882500000008
0.35,0.45,0.8,2.5,432,0.5439814814814815,1.8162521066780606,2537.3052142857196,3537.3052142857196
0.45,0.45,1.5,2.0,319,0.6520376175548589,2.2058646893356135,2531.3778571428675,3531.3778571428675
0.5,0.35,1.0,1.5,386,0.6476683937823834,2.016999105612378,2530.8371428571563,3530.8371428571563
0.45,0.45,1.2,2.5,315,0.6317460317460317,2.2162572158454634,2524.4523571428685,3524.4523571428685
0.4,0.45,1.0,1.0,411,0.6447688564476886,2.0463009487646997,2524.080714285721,3524.080714285721
0.5,0.35,1.5,1.0,386,0.6968911917098446,2.120436065885949,2521.701428571442,3521.701428571442
0.5,0.45,1.5,2.5,275,0.6509090909090909,2.389905085072586,2512.648571428589,3512.648571428589
0.4,0.45,1.5,1.0,394,0.6751269035532995,2.0555074298460685,2512.640714285713,3512.640714285713
0.35,0.45,1.2,1.0,438,0.6438356164383562,1.910411024627891,2512.349714285715,3512.349714285715
0.35,0.3,0.8,1.0,600,0.5883333333333334,1.638355646403749,2494.695142857142,3494.695142857142
0.5,0.4,1.5,1.5,331,0.649546827794562,2.1675664128343968,2494.600714285725,3494.600714285725
0.45,0.4,0.8,1.5,397,0.5944584382871536,1.9713902571688695,2493.6195714285805,3493.6195714285805
0.35,0.45,1.5,1.0,423,0.6619385342789598,1.923193129095779,2489.6253571428574,3489.6253571428574
0.4,0.4,0.8,1.0,480,0.6104166666666667,1.8384409671633186,2469.922999999998,3469.922999999998
0.4,0.45,1.2,1.5,383,0.6266318537859008,2.0226552126151227,2467.143428571433,3467.143428571433
0.45,0.45,1.2,2.0,322,0.6335403726708074,2.1682107450980976,2452.202857142866,3452.202857142866
0.5,0.3,1.0,1.5,412,0.6286407766990292,1.87032824303014,2451.535000000014,3451.535000000014
0.5,0.35,1.2,1.0,395,0.6784810126582278,2.03661952443486,2450.7267142857254,3450.7267142857254
0.45,0.45,1.0,2.0,328,0.6158536585365854,2.1285286394834295,2434.77071428573,3434.77071428573
0.45,0.35,0.8,1.0,468,0.6260683760683761,1.835002925163998,2415.765571428578,3415.765571428578
0.5,0.3,1.5,1.0,407,0.687960687960688,1.950720180996987,2410.8325000000127,3410.8325000000127
0.45,0.45,0.8,2.5,332,0.5753012048192772,2.055628211318228,2406.884500000008,3406.884500000008
0.35,0.4,0.8,1.0,523,0.5889101338432122,1.7082769854447422,2384.804428571427,3384.804428571427
0.5,0.45,1.0,2.5,281,0.6227758007117438,2.23705555780147,2382.456785714305,3382.456785714305
0.5,0.4,1.0,1.5,340,0.6323529411764706,2.0460797630809626,2380.7550000000133,3380.7550000000133
0.5,0.3,1.2,1.0,416,0.6730769230769231,1.9111957828414265,2378.5331428571544,3378.5331428571544
0.35,0.45,1.0,1.0,452,0.6194690265486725,1.8139727347517323,2371.035714285721,3371.035714285721
0.5,0.45,1.2,2.5,277,0.631768953068592,2.278634627216625,2370.322642857158,3370.322642857158
0.45,0.3,0.8,1.0,500,0.61,1.7449609071491512,2366.2891428571465,3366.2891428571465
0.4,0.45,0.8,1.5,405,0.5802469135802469,1.911143156538552,2354.3762142857217,3354.3762142857217
0.5,0.45,0.8,2.5,288,0.59375,2.200786270490767,2352.530714285728,3352.530714285728
0.45,0.45,0.8,2.0,338,0.5798816568047337,2.037896663484999,2351.5182857142913,3351.5182857142913
0.45,0.45,1.0,1.5,334,0.6227544910179641,2.0990792414162462,2350.5010714285863,3350.5010714285863
0.5,0.35,1.0,1.0,400,0.6625,1.9476202195035852,2348.875714285725,3348.875714285725
0.45,0.45,1.5,1.5,320,0.653125,2.1370223505607933,2317.2653571428673,3317.2653571428673
0.45,0.45,1.2,1.0,340,0.6705882352941176,2.1214227949284297,2312.9838571428595,3312.9838571428595
0.5,0.4,1.5,1.0,343,0.6763848396501457,2.0902685316979213,2312.4217857142935,3312.4217857142935
0.45,0.45,1.0,1.0,346,0.653179190751445,2.1064859628823642,2307.3978571428665,3307.3978571428665
0.45,0.45,1.5,1.0,333,0.6876876876876877,2.1355162553319627,2306.28785714286,3306.28785714286
0.5,0.45,1.5,2.0,277,0.6462093862815884,2.2543086983053047,2304.376071428588,3304.376071428588
0.5,0.35,0.8,1.5,401,0.6109725685785536,1.890895057494265,2300.7532857142996,3300.7532857142996
0.5,0.4,1.2,1.0,352,0.6590909090909091,2.03114197493848,2284.503000000005,3284.503000000005
0.35,0.45,0.8,1.5,452,0.5597345132743363,1.74026398860473,2280.736428571434,3280.736428571434
0.45,0.4,0.8,1.0,415,0.619277108433735,1.8657507331556888,2274.6645714285737,3274.6645714285737
0.5,0.3,0.8,1.5,433,0.5866050808314087,1.776279682896176,2262.3154285714427,3262.3154285714427
0.5,0.4,1.0,1.0,355,0.6507042253521127,1.9952394484269973,2253.962142857151,3253.962142857151
0.45,0.45,1.2,1.5,326,0.6349693251533742,2.0682857039839444,2243.28857142858,3243.28857142858
0.5,0.3,1.0,1.0,427,0.6440281030444965,1.7877855666456481,2214.3785714285814,3214.3785714285814
0.5,0.45,0.8,2.0,289,0.5916955017301038,2.1226117038210917,2183.217714285727,3183.217714285727
0.5,0.4,0.8,1.5,351,0.5982905982905983,1.9296246356249471,2178.5240714285824,3178.5240714285824
0.5,0.45,1.2,2.0,280,0.625,2.1349216690344157,2155.1468571428713,3155.1468571428713
0.5,0.45,1.0,2.0,284,0.6161971830985915,2.099662149809517,2148.2214285714476,3148.2214285714476
0.5,0.35,0.8,1.0,418,0.6244019138755981,1.7781012972086578,2102.56642857144,3102.56642857144
